time (s)	det(V)
5281.689091	0.003988	
5281.690568	-0.025882	
5281.692300	-0.029624	
5281.693801	-0.047320	
5281.695538	-0.015827	
5281.697058	-0.046225	
5281.698807	-0.013910	
5281.700330	-0.029120	
5281.702039	-0.027267	
5281.703580	-0.039513	
5281.705275	-0.029721	
5281.706822	-0.062966	
5281.708493	-0.016278	
5281.710073	-0.014691	
5281.711711	-0.031219	
5281.713305	-0.042047	
5281.714944	-0.016709	
5281.716557	-0.014405	
5281.718196	-0.045048	
5281.719810	-0.018675	
5281.721412	-0.053258	
5281.723075	0.000468	
5281.724653	-0.038192	
5281.726327	0.008029	
5281.727891	-0.050229	
5281.729589	-0.025555	
5281.731149	-0.040242	
5281.732851	-0.022107	
5281.734405	-0.041806	
5281.736119	-0.010465	
5281.737658	-0.040251	
5281.739389	-0.001994	
5281.740881	-0.033294	
5281.742626	-0.015871	
5281.744105	-0.034454	
5281.745857	-0.029737	
5281.747349	-0.046748	
5281.749135	-0.028597	
5281.750612	-0.050744	
5281.752405	-0.009523	
5281.753897	-0.040351	
5281.755638	-0.022860	
5281.757142	-0.042627	
5281.758887	-0.000568	
5281.760402	-0.021172	
5281.762139	-0.004306	
5281.763672	-0.053250	
5281.765400	-0.003516	
5281.766938	-0.031151	
5281.768642	-0.023283	
5281.770192	-0.061327	
5281.771881	-0.017632	
5281.773440	-0.033829	
5281.775116	-0.012081	
5281.776703	-0.022429	
5281.778348	-0.019227	
5281.779952	-0.034587	
5281.781580	-0.013668	
5281.783181	-0.001917	
5281.784811	-0.030663	
5281.786485	0.010321	
5281.788076	-0.030430	
5281.789755	-0.012028	
5281.791344	-0.025700	
5281.793008	-0.016097	
5281.794593	-0.032412	
5281.796255	-0.005792	
5281.797827	-0.035151	
5281.799547	-0.021745	
5281.801083	-0.043904	
5281.802785	-0.006574	
5281.804269	-0.016794	
5281.805838	-0.000906	
5281.807327	-0.014381	
5281.808824	-0.005474	
5281.810391	-0.040178	
5281.811940	0.005773	
5281.813535	0.008424	
5281.815030	-0.011658	
