time (s)	magX	magY	magZ
7374.690183	-20.689655	-234.774994	-15.721800
7374.693509	-20.163647	-237.054352	-18.176504
7374.696860	-20.046755	-239.333725	-20.514320
7374.700205	-19.696083	-242.080658	-23.553476
7374.703505	-20.222092	-244.769150	-26.534191
7374.706845	-20.046755	-247.925186	-30.450027
7374.710172	-19.462303	-250.555237	-32.320282
7374.713526	-19.053185	-253.243713	-35.184105
7374.718140	-19.053185	-259.205139	-41.496201
7374.721575	-18.527178	-262.419617	-45.412041
7374.724400	-18.585623	-265.166565	-49.386322
7374.727787	-18.644068	-268.731750	-51.957916
7374.731120	-18.351841	-271.420227	-55.639977
7374.734374	-18.234951	-274.751617	-59.088253
7374.737692	-18.001169	-278.433655	-63.880772
7374.741017	-18.059614	-281.531250	-68.205727
7374.744420	-18.059614	-285.154877	-73.056694
7374.747706	-17.416716	-288.135590	-77.615425
7374.750619	-17.533606	-291.876099	-81.005257
7374.753957	-17.533606	-295.382812	-85.622444
7374.757309	-17.299826	-299.532440	-90.122734
7374.760606	-16.773817	-302.863800	-94.856812
7374.763937	-16.306253	-307.013428	-100.292229
7374.767262	-16.598480	-310.987732	-105.318520
7374.770596	-15.546463	-314.436005	-112.039742
7374.773948	-15.663354	-318.234955	-116.890701
7374.776836	-15.546463	-321.507874	-123.787262
7374.780172	-14.611338	-325.715942	-130.450027
7374.783501	-14.552893	-329.631805	-137.346573
7374.786844	-13.793103	-333.839874	-144.009354
7374.790168	-13.442431	-337.755707	-151.607254
7374.793504	-12.565751	-342.197540	-158.620697
7374.796841	-12.916424	-345.821167	-167.270599
7374.800164	-11.572180	-350.613678	-175.336060
7374.803496	-10.870836	-354.471069	-183.869095
7374.806899	-10.344828	-359.322021	-191.876099
7374.810174	-9.701928	-363.062531	-201.402695
7374.813496	-8.182350	-367.445953	-211.396835
7374.816862	-7.831677	-371.595551	-221.741669
7374.820166	-6.662770	-375.920502	-232.670944
7374.823500	-5.844535	-379.953247	-243.249557
7374.826828	-5.201637	-384.044403	-254.237289
7374.830172	-4.324956	-387.960266	-266.335480
7374.833499	-2.980713	-392.168335	-278.082977
7374.836832	-1.285798	-395.265930	-290.064301
7374.840163	0.233781	-400.233795	-302.980713
7374.843498	1.168907	-402.980713	-317.066040
7374.846829	2.045588	-406.487427	-330.859131
7374.850163	3.156049	-409.818848	-344.886047
7374.853515	4.032730	-412.741089	-359.088257
7374.856827	4.734074	-416.014008	-373.232025
7374.860161	5.961426	-419.170105	-389.421387
7374.863491	6.779661	-421.332550	-404.266510
7374.866875	8.007013	-423.261261	-420.514282
7374.870161	8.533022	-425.423706	-436.703674
7374.873499	9.585038	-426.943298	-453.477478
7374.876829	10.870836	-428.229095	-469.374664
7374.880159	11.572180	-429.456482	-487.317383
7374.883496	12.448860	-430.683807	-504.558746
7374.886828	13.559322	-431.151398	-522.326111
7374.890163	15.663354	-430.859131	-539.567505
7374.893496	16.773817	-430.450012	-557.685547
7374.896853	17.767387	-428.872009	-575.862061
7374.900159	18.118059	-427.936890	-594.038574
7374.903495	19.754528	-426.417297	-612.448853
7374.906828	21.391001	-424.430176	-631.268250
7374.910157	23.085915	-420.689667	-649.094116
7374.913490	24.488602	-417.124512	-667.971924
7374.916821	25.949738	-413.442413	-686.849792
7374.921505	30.157801	-403.097595	-723.261230
7374.924378	32.144947	-397.136200	-742.139099
7374.927672	33.606079	-389.888947	-759.848022
7374.930999	36.177673	-383.109283	-779.251892
7374.934370	38.983051	-374.342499	-795.967285
7374.937718	40.619518	-365.692566	-814.260681
7374.941108	43.132671	-354.704865	-830.917542
7374.944409	44.886032	-344.067780	-848.451233
7374.947732	47.340736	-332.963196	-863.822388
7374.951010	49.561657	-320.981873	-879.193481
7374.953909	51.490356	-307.364105	-893.570984
7374.957238	53.769726	-293.395691	-907.656372
7374.960586	56.341320	-279.018127	-920.572754
7374.963934	57.919346	-263.705444	-932.787781
7374.967235	60.724724	-248.217422	-943.600281
7374.970604	62.361191	-232.437180	-953.419006
7374.973930	63.530098	-214.669769	-961.542969
7374.977264	65.283463	-196.668610	-969.900635
7374.980174	67.270599	-178.609009	-976.154297
7374.983504	68.614845	-159.906479	-980.713013
7374.986813	69.433083	-140.151947	-985.154907
7374.990154	70.660431	-121.157219	-988.720032
7374.993484	71.127991	-100.584457	-990.707214
7374.996817	72.296898	-80.303917	-990.473389
7375.000150	73.232033	-60.432495	-989.479858
7375.003486	73.933372	-39.918175	-988.720032
7375.006810	73.465813	-18.994740	-985.856262
7375.010143	73.582703	2.863822	-982.466431
7375.013480	74.225601	23.085915	-977.089417
7375.016815	74.108711	42.665108	-970.543579
7375.020148	74.459381	63.530098	-963.588501
7375.023487	74.634720	83.869080	-956.282898
7375.026841	74.050262	103.389832	-946.522522
7375.030149	74.284050	123.553482	-936.879089
7375.033475	73.816483	142.431335	-926.300415
7375.036808	73.407364	161.952072	-913.910034
7375.040144	74.225601	180.946808	-901.636475
7375.043477	73.524254	198.714203	-888.836975
7375.046856	73.407364	216.130920	-875.336060
7375.050148	72.764465	232.261826	-860.315613
7375.053481	72.121567	248.334320	-844.418457
7375.056806	71.537109	263.939209	-828.404419
7375.060138	71.186440	279.251923	-811.513733
7375.063480	71.537109	293.571014	-793.746338
7375.066811	70.368210	307.714783	-777.089417
7375.070178	69.783752	320.572754	-760.257141
7375.073473	69.433083	332.904755	-741.846924
7375.076811	68.205727	344.886047	-723.904114
7375.080140	67.153709	355.815308	-706.019897
7375.083472	66.569260	366.218597	-688.252502
7375.086808	65.809471	375.160706	-669.082397
7375.090138	64.699005	383.810638	-649.853882
7375.093475	63.588543	391.642303	-631.911194
7375.096807	62.478085	399.064880	-612.857971
7375.100140	61.016949	404.909424	-594.973694
7375.103473	60.315601	409.643494	-575.394470
7375.106803	58.562244	414.552887	-558.036255
7375.110142	57.218002	419.111633	-539.450623
7375.113497	55.347752	422.442993	-522.384521
7375.117766	51.899475	426.884827	-487.551117
7375.121441	50.321449	428.579773	-471.011108
7375.124324	48.743423	429.514893	-453.594391
7375.127674	47.399181	430.333130	-438.164795
7375.131007	45.645821	429.573334	-422.384552
7375.134397	44.301579	429.222687	-406.429016
7375.137743	42.139099	428.053772	-391.350067
7375.141061	40.151958	426.826416	-375.511414
7375.144322	38.573933	425.073059	-362.419617
7375.147644	37.054356	422.618347	-348.100525
7375.150551	35.710110	420.397430	-334.132080
7375.153896	34.248978	417.007599	-321.157227
7375.157265	32.787846	414.143738	-308.240784
7375.160557	32.086502	410.403259	-294.856812
7375.163922	29.924021	407.130341	-283.635315
7375.167248	28.053770	402.980713	-272.764465
7375.170586	27.410872	398.655762	-260.432495
7375.173890	25.365284	393.921692	-249.970764
7375.176796	24.488602	389.772064	-238.398605
7375.180126	22.910578	385.622467	-228.345993
7375.183464	22.618351	381.180603	-217.825836
7375.186794	20.923437	375.628296	-208.825256
7375.190125	19.988310	370.601990	-198.421982
7375.193458	19.637638	366.101685	-189.421387
7375.196801	17.884277	361.426056	-179.544128
7375.200159	17.475161	355.990662	-170.952652
7375.203459	17.007599	351.431915	-162.887207
7375.206795	16.014027	345.528931	-154.529510
7375.210127	15.721800	340.561066	-146.347168
7375.213458	13.442431	335.359436	-138.690826
7375.216793	12.741087	329.807129	-130.625366
7375.220124	12.624197	324.780823	-123.261246
7375.223459	11.689071	320.046753	-115.721802
7375.226789	10.987726	314.260681	-108.708359
7375.230120	9.935710	308.708344	-102.220932
7375.233494	8.649913	303.565155	-97.019287
7375.236790	8.065459	298.246643	-89.479836
7375.240130	7.597896	292.752777	-84.044418
7375.243497	6.370543	287.375793	-79.719460
7375.246790	5.610754	282.817078	-73.407364
7375.250148	4.734074	277.966095	-68.205727
7375.253457	4.500292	272.822906	-63.471649
7375.256789	3.974284	268.965515	-58.036240
7375.260114	2.688486	263.822327	-54.529510
