time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4851.293049	269.188995	0.672090	-0.100000	15
4853.379894	278.631561	1.232217	0.015800	17
4855.467278	278.743805	1.175191	0.011729	19
4857.562528	277.094788	1.180084	0.010053	21
4859.657265	276.355255	1.189944	0.010414	23
4861.745982	277.367035	1.161958	0.010506	25
4863.832447	278.658356	1.104615	0.008141	27
4865.923714	277.929993	1.069619	0.005038	29
4868.017531	276.865204	1.071998	0.004393	31
4870.111550	276.503357	1.071323	0.004491	33
4872.203437	276.416779	1.060418	0.003585	35
4874.294116	276.466492	1.040346	0.002596	37
4876.384500	269.301880	0.990840	0.100000	39
4878.475596	269.242584	0.964761	0.100000	41
4880.566299	269.803284	0.949248	0.100000	43
4882.657982	96.771225	-0.954959	0.001140	45
4884.747908	271.270386	0.912002	0.100000	47
4886.835322	84.965584	-0.895429	0.100000	49
4888.921944	90.009720	-0.831436	-0.100000	51
4891.007957	96.533371	-0.825549	0.010049	53
4893.100873	90.569969	-0.776629	-0.100000	55
4895.196954	91.513458	-0.796086	-0.100000	57
4897.290509	92.389816	-0.795586	0.100000	59
4899.376887	92.487175	-0.773805	0.100000	61
4901.459599	95.976715	-0.741913	0.015672	63
4903.548379	83.276062	-0.620156	0.100000	65
4905.643547	84.290771	-0.708570	-0.100000	67
4907.738084	95.466362	-0.719672	0.013219	69
4909.830448	96.561646	-0.712505	0.014445	71
4911.917324	93.903831	-0.669344	0.100000	73
4914.003495	93.375992	-0.645260	0.100000	75
4916.091498	93.108475	-0.620949	-0.100000	77
4918.178921	95.991646	-0.622647	0.022248	79
4920.267038	96.072166	-0.606854	0.023291	81
4922.357150	96.040146	-0.594464	0.024157	83
4924.447408	95.934967	-0.585099	0.024695	85
4926.540035	95.742805	-0.578285	0.025285	87
4928.632369	95.495193	-0.572823	0.025692	89
4930.724565	95.372131	-0.565569	0.025868	91
4932.812521	95.576103	-0.552790	0.026911	93
4934.896638	93.278244	-0.528449	0.024847	95
4936.978316	96.510971	-0.503036	0.031938	97
4939.062468	97.101799	-0.486019	0.032854	99
4941.155414	95.874275	-0.481284	0.034129	101
4943.251625	95.178024	-0.483513	0.033377	103
4945.346823	94.926941	-0.481679	0.032766	105
4947.436778	94.441452	-0.448803	0.100000	107
4949.517921	95.984337	-0.452917	0.042693	109
4951.598508	92.735046	-0.415981	0.100000	111
4953.681624	94.043007	-0.414376	0.041279	113
4955.766601	93.100815	-0.383361	0.100000	115
4957.854787	92.910950	-0.371246	0.100000	117
4959.939599	90.598328	-0.352668	0.100000	119
4962.027171	90.376808	-0.349527	0.100000	121
4964.114262	90.288658	-0.343946	0.100000	123
4966.203248	93.135025	-0.360842	0.056521	125
4968.289560	93.129013	-0.353331	0.056741	127
4970.381911	93.286903	-0.347236	0.055443	129
4972.474269	93.744659	-0.340293	0.054019	131
4974.571262	94.101593	-0.343035	0.046181	133
4976.665485	94.235252	-0.340426	0.043195	135
4978.747947	93.398491	-0.335046	0.046651	137
4980.829135	91.013222	-0.322151	0.057156	139
4982.902580	87.872955	-0.303517	0.072006	141
