time (s)	magX	magY	magZ
4852.194745	-18.952660	222.967255	86.442436
4852.198086	-19.420219	226.941559	91.059608
4852.201413	-19.537113	231.909409	95.501472
4852.204737	-20.296902	236.409698	99.475746
4852.208073	-20.939800	240.676208	104.385155
4852.211414	-21.115135	245.760956	109.469902
4852.214739	-22.108707	249.501465	113.677971
4852.218078	-21.758034	254.878418	118.821159
4852.221407	-22.400932	259.437164	124.198143
4852.224737	-23.102276	264.638794	129.165985
4852.228071	-23.569839	269.665100	136.413208
4852.231411	-23.452950	274.457611	142.257721
4852.234763	-24.680305	279.191711	148.160706
4852.238071	-25.089420	284.393341	154.414398
4852.241405	-25.440090	289.302734	161.720062
4852.244740	-26.024544	294.445923	169.142609
4852.248069	-26.433662	299.238464	175.746948
4852.251401	-27.135010	304.264740	183.286377
4852.254736	-28.596146	309.232605	190.592041
4852.258073	-29.239040	314.609558	198.832825
4852.261403	-30.115723	319.285217	207.891846
4852.264741	-31.167740	324.662170	217.360016
4852.268069	-32.278198	329.454712	226.945068
4852.271399	-33.388660	334.656342	236.705444
4852.274735	-34.148449	339.624176	247.108704
4852.278096	-36.252480	344.825836	258.447083
4852.281398	-36.953823	349.384552	271.071289
4852.284736	-39.057865	354.060181	281.883667
4852.289426	-41.921680	362.768555	307.541199
4852.292266	-43.382816	366.567505	320.808289
4852.295649	-44.843945	370.483337	334.601379
4852.298993	-46.421978	373.814728	348.160706
4852.302342	-48.409115	376.795441	363.531830
4852.305584	-49.578022	380.009918	379.370544
4852.308923	-51.331379	381.587952	394.390991
4852.311820	-52.208065	383.633545	409.528320
4852.315166	-53.786083	385.270020	428.055542
4852.318490	-55.130329	386.614258	444.361755
4852.321882	-56.533024	387.315613	460.083618
4852.325179	-58.111050	386.497345	476.915833
4852.328065	-58.578609	386.088257	494.507874
4852.331395	-59.513737	384.977753	511.515503
4852.334778	-60.448864	383.399780	529.399719
4852.338067	-61.091755	380.594391	546.115112
4852.341395	-62.202221	377.847443	564.350098
4852.344724	-62.728230	374.340729	582.468140
4852.348065	-63.429569	370.132660	600.527771
4852.351393	-64.189362	365.106354	617.944519
4852.354729	-64.247803	359.670929	635.887207
4852.358061	-64.423141	353.358856	653.829895
4852.361390	-65.066040	346.228516	672.181763
4852.364764	-65.592056	337.637054	689.598450
4852.368056	-66.001175	329.746918	707.073669
4852.371394	-66.994736	319.752777	724.431885
4852.374722	-67.345413	309.291046	742.316223
4852.378059	-67.871414	298.537109	760.784851
4852.381392	-68.222092	285.971344	777.734070
4852.384722	-68.689651	272.587372	794.215637
4852.388057	-69.507889	259.437164	810.872620
4852.391391	-70.559906	245.059601	827.061890
4852.394723	-71.085907	229.688477	843.251282
4852.398056	-71.728806	214.375793	858.505493
4852.401421	-72.137924	197.368210	873.584412
4852.404720	-73.248398	180.009933	887.611328
4852.408090	-73.832840	160.664520	902.807129
4852.411386	-75.060196	142.663361	914.203979
4852.414726	-75.703094	122.733482	927.529480
4852.418903	-77.281113	81.412628	947.926941
4852.422233	-77.573349	61.307426	956.869080
4852.425590	-77.398010	38.922852	964.350037
4852.428930	-77.398010	17.940969	970.136169
4852.432318	-78.040909	-3.391583	975.279358
4852.435171	-77.631790	-25.191700	978.669250
4852.438542	-77.514893	-46.933372	980.831726
4852.441808	-76.404434	-68.032143	981.416077
4852.445164	-76.287552	-88.195786	981.182312
4852.448480	-75.293976	-109.002335	978.786072
4852.451417	-74.475739	-128.230865	976.097595
4852.454720	-72.956161	-147.926941	972.298645
4852.458052	-71.378143	-166.337234	967.213928
4852.461382	-69.449448	-183.929276	961.836975
4852.464719	-68.222092	-201.988907	954.297485
4852.468053	-66.176498	-218.587387	945.238464
4852.471385	-64.423141	-234.192276	936.296326
4852.474708	-63.137348	-249.329651	926.302124
4852.478048	-60.156628	-262.830505	914.788391
4852.481383	-58.286381	-276.272949	902.514893
4852.484710	-56.065456	-289.014038	888.721802
4852.488044	-54.253651	-301.112244	876.915833
4852.491424	-52.149616	-312.392181	862.012268
4852.494743	-50.220921	-322.795441	847.810059
4852.498043	-48.233784	-332.731171	831.971313
4852.501386	-46.246632	-341.556396	816.600220
4852.504709	-44.960835	-350.440094	799.767944
4852.508044	-43.207478	-357.511993	782.935669
4852.511377	-41.921680	-364.583893	766.161865
4852.514715	-40.168324	-370.253082	748.452942
