crossing time (s)	slope (V/s)	crossing number
4129.093103	-129.914480	2667
4130.094166	-125.971680	2668
4131.177187	-118.409994	2669
4132.188354	-112.180635	2670
4133.305014	-110.440193	2671
4134.312411	-103.018602	2672
4135.426289	-115.970116	2673
4136.389800	-116.854478	2674
4137.499436	-117.021363	2675
4138.472070	-111.929654	2676
4139.632348	-115.365105	2677
4140.565914	-111.118446	2678
4141.640386	-105.594598	2679
4142.627336	-98.445610	2680
4143.812826	-100.881334	2681
4144.701531	-99.324514	2682
4145.874748	-101.185966	2683
4146.851840	-96.531448	2684
4147.976876	-97.929264	2685
4148.922198	-100.360578	2686
4150.036316	-95.812209	2687
4151.017159	-93.675546	2688
4152.136146	-92.866428	2689
4153.112801	-91.872628	2690
4154.221450	-89.551730	2691
4155.190645	-84.086162	2692
4156.316868	-87.940562	2693
4157.261480	-83.865162	2694
4158.441527	-87.527153	2695
4159.376586	-81.921614	2696
4160.505897	-81.134666	2697
4161.428056	-81.259689	2698
4162.625879	-78.030547	2699
4163.568762	-81.501357	2700
4164.700231	-80.085781	2701
4165.637797	-76.976922	2702
4166.777645	-76.881449	2703
4167.721546	-75.257255	2704
4168.911377	-75.469049	2705
4169.819117	-74.568345	2706
4170.955505	-73.398673	2707
4171.932776	-69.934644	2708
4173.073026	-70.541108	2709
4174.004238	-67.621367	2710
4175.145221	-68.315236	2711
4176.100623	-66.265192	2712
4177.247041	-66.212514	2713
4178.171147	-64.232128	2714
4179.344602	-64.096016	2715
4180.272816	-60.250769	2716
4181.419881	-63.363291	2717
4182.369030	-58.981713	2718
4183.508133	-60.159876	2719
4184.460804	-57.520360	2720
4185.624914	-58.041611	2721
4186.533271	-56.970301	2722
4187.685771	-57.884125	2723
4188.619077	-55.410403	2724
4189.789661	-55.920012	2725
4190.710244	-52.096006	2726
4191.880607	-54.445736	2727
4192.833837	-51.268995	2728
4193.987664	-51.438909	2729
4194.895339	-49.102564	2730
4196.067535	-50.297360	2731
4196.977661	-48.028366	2732
4198.162699	-46.802663	2733
4199.089682	-48.817190	2734
4200.246983	-46.581073	2735
4201.171165	-45.481630	2736
4202.355609	-44.745068	2737
4203.243911	-42.800366	2738
4204.435027	-44.277333	2739
4205.352937	-42.059883	2740
4206.528311	-44.079949	2741
4207.412546	-39.661666	2742
4208.574174	-40.929242	2743
4209.521368	-38.881733	2744
4210.704327	-39.672487	2745
4211.601554	-38.328362	2746
4212.802812	-39.536357	2747
4213.703763	-37.118780	2748
4214.913823	-38.244318	2749
4215.792821	-36.264045	2750
4216.990725	-37.591822	2751
4217.883482	-34.028285	2752
4219.081054	-34.343160	2753
4219.954602	-33.292609	2754
4221.158103	-34.166300	2755
4222.063613	-33.230964	2756
4223.265291	-32.557247	2757
4224.125288	-31.109754	2758
4225.350142	-32.010626	2759
4226.235233	-30.506226	2760
4227.438630	-30.944197	2761
4228.321628	-30.910478	2762
4229.516714	-29.735347	2763
4230.441022	-28.837305	2764
4231.616513	-29.665423	2765
4232.530371	-29.102694	2766
4233.701587	-27.703519	2767
4234.599815	-26.793627	2768
4235.791021	-27.344777	2769
4236.675579	-25.285598	2770
4237.884906	-26.431920	2771
4238.788126	-25.479586	2772
4239.982908	-24.444876	2773
4240.873294	-24.212544	2774
4242.065327	-24.187260	2775
4242.940763	-23.542706	2776
4244.194162	-22.847381	2777
4245.047112	-22.719589	2778
4246.230766	-22.643577	2779
4247.133379	-24.933352	2780
4248.329373	-22.092161	2781
4249.217058	-20.965705	2782
4250.469611	-20.897852	2783
4251.314555	-20.090013	2784
4252.533914	-20.457547	2785
4253.412325	-21.027688	2786
4254.632253	-18.850682	2787
4255.488150	-17.440456	2788
4256.744773	-19.658581	2789
4257.591456	-18.503948	2790
4258.822298	-18.606383	2791
4259.676265	-18.691064	2792
4260.903112	-17.435140	2793
