time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3824.031546	90.966995	1.222750	0.044460	65
3826.120328	90.993484	1.207659	0.043589	67
3828.211547	91.037071	1.191314	0.042276	69
3830.300307	90.975449	1.175061	0.041335	71
3832.389186	91.002655	1.161591	0.039976	73
3834.479538	90.966537	1.150569	0.039051	75
3836.568043	90.955360	1.137869	0.038036	77
3838.658539	90.947899	1.124847	0.037058	79
3840.748850	90.949707	1.111698	0.036296	81
3842.838309	90.971199	1.099186	0.035257	83
3844.928518	91.042366	1.086672	0.034349	85
3847.019868	91.031075	1.075267	0.033290	87
3849.110290	91.041885	1.064814	0.032604	89
3851.200331	90.993202	1.053211	0.031516	91
3853.292592	270.941559	-1.039720	-0.030828	93
3855.382971	270.824860	-1.025197	-0.030012	95
3857.473931	270.723572	-1.014231	-0.028911	97
3859.564355	270.675903	-0.999891	-0.028379	99
3861.654763	270.685974	-0.986607	-0.027905	101
3863.744268	270.760651	-0.973241	-0.026889	103
3865.834166	270.846375	-0.961089	-0.026050	105
3867.923930	270.965393	-0.950720	-0.025200	107
3870.012581	271.014191	-0.940689	-0.024563	109
3872.101907	271.077850	-0.930677	-0.023589	111
3874.191489	271.095428	-0.918595	-0.022828	113
3876.280198	271.077118	-0.906291	-0.022026	115
3878.369749	271.103058	-0.894769	-0.021110	117
3880.459997	271.133179	-0.884224	-0.020522	119
3882.548730	271.112244	-0.874260	-0.019933	121
3884.639150	271.050262	-0.864628	-0.019086	123
3886.730580	271.001831	-0.853478	-0.018509	125
3888.820206	270.924347	-0.841670	-0.017634	127
3890.910021	270.799591	-0.829288	-0.016934	129
3893.000131	270.774323	-0.819685	-0.015931	131
3895.089348	270.640442	-0.809837	-0.015210	133
3897.179154	270.580170	-0.800195	-0.014454	135
3899.268067	270.675049	-0.791797	-0.013648	137
3901.356565	270.744049	-0.783372	-0.013255	139
3903.445734	270.840790	-0.773831	-0.012615	141
3905.533482	270.938904	-0.764605	-0.011716	143
3907.623376	271.048157	-0.755576	-0.011007	145
3909.709912	271.155792	-0.746906	-0.010382	147
3911.798952	271.191956	-0.736066	-0.009779	149
3913.888095	271.200775	-0.726682	-0.008912	151
3915.975473	271.273376	-0.716324	-0.008065	153
3918.066296	271.235199	-0.708182	-0.007382	155
3920.155279	271.225922	-0.699902	-0.006774	157
3922.244174	271.212067	-0.688894	-0.005942	159
