time (s)	det(V)
3824.896362	1.620307	
3824.897963	1.620690	
3824.899603	1.620541	
3824.901221	1.620609	
3824.902846	1.620803	
3824.904465	1.620541	
3824.906074	1.620859	
3824.907738	1.620332	
3824.909325	1.620766	
3824.911008	1.618487	
3824.912579	1.620948	
3824.914276	1.620090	
3824.915853	1.620903	
3824.917535	1.620658	
3824.919086	1.620803	
3824.920778	1.620545	
3824.922326	1.620706	
3824.924060	1.620489	
3824.925576	1.620722	
3824.927329	1.620633	
3824.928810	1.620767	
3824.930593	1.620589	
3824.932078	1.620698	
3824.933863	1.620738	
3824.935354	1.620718	
3824.937110	1.620549	
3824.938589	1.620666	
3824.940363	1.620702	
3824.941856	1.620666	
3824.943598	1.620799	
3824.945108	1.620642	
3824.946816	1.620746	
3824.948349	1.620726	
3824.950072	1.620714	
3824.951607	1.620754	
3824.953319	1.620924	
3824.954860	1.620698	
3824.956550	1.620887	
3824.958114	1.620702	
3824.959777	1.620787	
3824.961363	1.620589	
3824.962988	1.620863	
3824.964594	1.620674	
3824.966119	1.620771	
3824.967771	1.620658	
3824.969252	1.620670	
3824.970886	1.620807	
3824.972370	1.620742	
3824.974017	1.620803	
3824.975507	1.620633	
3824.977140	1.620787	
3824.978650	1.620682	
3824.980240	1.620682	
3824.981756	1.620746	
3824.983403	1.620787	
3824.984929	1.620646	
3824.986557	1.620714	
3824.988121	1.620690	
3824.989699	1.620670	
3824.991305	1.620654	
3824.992869	1.620746	
3824.994499	1.620658	
3824.995999	1.620839	
3824.997716	1.620565	
3824.999307	1.620899	
3825.001006	1.620666	
3825.002596	1.620859	
3825.004251	1.620605	
3825.005829	1.620867	
3825.007542	1.620617	
3825.009075	1.620779	
3825.010790	1.620638	
3825.012338	1.620758	
3825.014042	1.620569	
3825.015567	1.620867	
3825.017305	1.620682	
3825.018789	1.620722	
3825.020593	1.620621	
3825.022079	1.620746	
3825.023870	1.620678	
3825.025362	1.620706	
3825.027132	1.619642	
3825.028610	1.620682	
3825.030395	1.620307	
3825.031882	1.620787	
3825.033648	1.620726	
3825.035148	1.620638	
3825.036913	1.620714	
3825.038419	1.620589	
3825.040159	1.620396	
3825.041679	1.620589	
3825.043394	1.619659	
3825.044935	1.620605	
3825.046660	1.620529	
3825.048218	1.620605	
3825.049918	1.615578	
3825.051471	1.620509	
3825.053166	1.614607	
3825.054737	1.619071	
3825.056400	1.606264	
3825.057979	1.442650	
3825.059633	1.301433	
3825.061252	1.171226	
3825.062877	1.026621	
3825.064500	0.891810	
3825.066143	0.770920	
3825.067776	0.665676	
3825.069382	0.487455	
3825.071043	0.429036	
3825.072621	0.236503	
3825.074300	0.101079	
3825.075876	-0.069501	
3825.077576	-0.162502	
3825.079168	-0.356470	
3825.080836	-0.486166	
3825.082397	-0.613747	
3825.084122	-0.775141	
3825.085607	-0.927795	
3825.087174	-1.033897	
3825.088660	-1.124969	
3825.090276	-1.369166	
3825.091782	-1.492005	
3825.093359	-1.554388	
3825.094918	-1.631856	
3825.096412	-1.631494	
3825.098055	-1.632138	
3825.099551	-1.632155	
3825.101174	-1.632159	
3825.102699	-1.632295	
3825.104346	-1.632271	
3825.105820	-1.632308	
3825.107551	-1.628029	
3825.109021	-1.632328	
3825.110743	-1.629725	
3825.112223	-1.632259	
3825.113938	-1.629585	
3825.115420	-1.632344	
3825.117128	-1.631143	
3825.118625	-1.632408	
3825.120319	-1.631115	
3825.121829	-1.632352	
3825.123493	-1.630946	
3825.125008	-1.632461	
3825.126735	-1.631502	
3825.128262	-1.632380	
3825.129966	-1.632328	
3825.131512	-1.632376	
3825.133206	-1.631204	
3825.134768	-1.632461	
3825.136449	-1.631301	
3825.138035	-1.632336	
3825.139678	-1.631168	
3825.141273	-1.632424	
3825.142920	-1.630886	
3825.144510	-1.632453	
3825.146140	-1.632159	
3825.147782	-1.631534	
3825.149389	-1.632304	
3825.151050	-1.631828	
3825.152652	-1.632263	
3825.154304	-1.631631	
3825.155893	-1.632372	
3825.157554	-1.631752	
3825.159112	-1.632235	
3825.160832	-1.631373	
3825.162383	-1.632348	
3825.164094	-1.631953	
3825.165640	-1.632227	
3825.167350	-1.629504	
3825.168856	-1.632308	
3825.170613	-1.629778	
3825.172104	-1.632380	
3825.173906	-1.631301	
3825.175389	-1.632344	
3825.177172	-1.631736	
3825.178659	-1.632300	
3825.180421	-1.631389	
3825.181900	-1.632352	
3825.183661	-1.630314	
3825.185159	-1.632384	
3825.186942	-1.630688	
3825.188439	-1.632384	
3825.190164	-1.630829	
3825.191681	-1.632364	
3825.193401	-1.632183	
3825.194924	-1.632356	
3825.196646	-1.631099	
3825.198196	-1.632457	
3825.199883	-1.632054	
3825.201456	-1.632533	
3825.203143	-1.630289	
3825.204722	-1.632457	
3825.206399	-1.630761	
3825.207980	-1.632428	
3825.209640	-1.629750	
3825.211250	-1.632344	
3825.212878	-1.629866	
3825.214493	-1.632360	
3825.216114	-1.632146	
3825.217775	-1.631852	
3825.219269	-1.632493	
3825.220837	-1.632465	
3825.222335	-1.632364	
3825.223963	-1.631792	
3825.225464	-1.632461	
3825.227078	-1.631212	
3825.228578	-1.632485	
3825.230178	-1.632243	
3825.231701	-1.632352	
3825.233265	-1.632316	
3825.234841	-1.632408	
3825.236337	-1.632203	
3825.237974	-1.632489	
3825.239522	-1.629609	
3825.241139	-1.632396	
3825.242641	-1.632332	
3825.244341	-1.631438	
3825.245814	-1.632219	
3825.247547	-1.630330	
3825.249022	-1.632320	
