time (s)	magX	magY	magZ
3416.696351	-12.991230	-315.431335	287.669769
3416.699193	-13.225014	-318.119812	296.085907
3416.702568	-13.049675	-320.983643	306.606079
3416.705895	-12.699005	-323.146118	315.723541
3416.709266	-11.705433	-324.957916	325.250153
3416.712483	-12.056107	-327.821747	336.471649
3416.715819	-12.348331	-329.808899	346.699585
3416.718744	-11.705433	-331.562225	357.921082
3416.722066	-10.828754	-333.374054	368.265930
3416.725400	-10.244301	-334.250732	379.604309
3416.728728	-9.542957	-336.179443	390.066010
3416.732063	-8.724720	-337.465210	401.755096
3416.734972	-8.374050	-338.517242	412.392151
3416.738326	-8.374050	-339.160126	425.483917
3416.741640	-7.555817	-340.095276	436.237885
3416.744969	-6.562244	-340.445953	448.102234
3416.748302	-6.503799	-340.971954	459.265320
3416.751640	-5.568674	-341.381073	471.480408
3416.754971	-5.334888	-340.621277	482.701965
3416.758298	-4.691990	-340.329071	495.092346
3416.761637	-4.341318	-340.212158	505.729431
3416.764968	-4.399765	-339.627686	517.652222
3416.768298	-4.458210	-338.341919	529.282898
3416.771628	-4.516655	-337.289886	541.264160
3416.774965	-4.458210	-335.653442	553.596130
3416.778306	-4.165983	-334.192291	564.992981
3416.781649	-4.575100	-331.503815	576.623596
3416.784961	-4.984217	-328.639984	588.195740
3416.788299	-4.925772	-325.776154	599.651062
3416.791633	-5.510229	-322.737000	611.573975
3416.794965	-5.627117	-318.879608	623.613647
3416.798292	-5.568674	-315.372864	636.413208
3416.801628	-6.737579	-310.580383	647.050232
3416.804966	-6.386909	-306.138519	658.564026
3416.808297	-7.088253	-300.703094	669.142578
3416.811629	-7.263588	-294.683228	682.818787
3416.814967	-7.380478	-288.780243	694.098755
3416.818300	-7.322033	-281.708374	705.086487
3416.821630	-7.614262	-274.694916	715.898865
3416.824994	-6.912918	-266.804779	727.354187
3416.829593	-5.977791	-249.621872	748.686768
3416.832487	-5.393335	-240.445953	758.856262
3416.835834	-4.575100	-230.334900	768.674988
3416.839189	-4.224428	-219.814728	777.850952
3416.842594	-2.587959	-209.294571	785.916382
3416.845885	-1.945061	-197.079483	793.572754
3416.849225	-0.776154	-185.799530	800.703125
3416.852061	-0.016363	-173.292236	806.839783
3416.855383	1.094097	-160.200470	812.567505
3416.858716	1.970779	-148.043839	817.359985
3416.862054	3.841030	-134.426071	821.860291
