crossing time (s)	slope (V/s)	crossing number
2224.387830	-71.420136	884
2225.402244	-65.775640	885
2226.455181	-66.454953	886
2227.465424	-66.885185	887
2228.546733	-65.472628	888
2229.577254	-65.948738	889
2230.600478	-63.605748	890
2231.658924	-67.117171	891
2232.720909	-61.842112	892
2233.739648	-62.592846	893
2234.812509	-65.240311	894
2235.836491	-61.336275	895
2236.900069	-62.217682	896
2237.917664	-63.126304	897
2238.981457	-59.650433	898
2240.006746	-60.629003	899
2241.055502	-61.903256	900
2242.091891	-59.309419	901
2243.144387	-61.025002	902
2244.211861	-59.788170	903
2245.226755	-57.741937	904
2246.249700	-61.120064	905
2247.298487	-57.068447	906
2248.355363	-57.202929	907
2249.411868	-61.245375	908
2250.470509	-56.491849	909
2251.481395	-56.998440	910
2252.538402	-56.224852	911
2253.589897	-55.770301	912
2254.633693	-56.481772	913
2255.638817	-54.575460	914
2256.707588	-56.548563	915
2257.739977	-52.818124	916
2258.799843	-53.918483	917
2259.826064	-53.488497	918
2260.902928	-54.691893	919
2261.936380	-53.662743	920
2262.984109	-53.079115	921
2264.044266	-52.068532	922
2265.082715	-52.004337	923
2266.078204	-52.023533	924
2267.145510	-51.378678	925
2268.215414	-52.930796	926
2269.235783	-50.589046	927
2270.280727	-50.254819	928
2271.353360	-49.127670	929
2272.369657	-50.004664	930
2273.417640	-50.614224	931
2274.450740	-48.733806	932
2275.483313	-47.677200	933
2276.569353	-47.323671	934
2277.614114	-47.432059	935
2278.660964	-46.584581	936
2279.652579	-47.857274	937
2280.709169	-48.673571	938
2281.775127	-47.486391	939
2282.804073	-47.487714	940
2283.807167	-48.375502	941
2284.897659	-46.345873	942
2285.911747	-47.340440	943
2286.981673	-45.455377	944
2288.006705	-45.271433	945
2289.063925	-44.820984	946
2290.118692	-45.885199	947
2291.157874	-43.972588	948
2292.177174	-44.852736	949
2293.223157	-43.426219	950
2294.298366	-44.262041	951
2295.323932	-43.790842	952
2296.358695	-43.534675	953
2297.416209	-42.207109	954
2298.441914	-42.035578	955
2299.479082	-43.360705	956
2300.535130	-41.181838	957
2301.565040	-41.695653	958
2302.593905	-41.329890	959
2303.671448	-42.221968	960
2304.720042	-40.218323	961
2305.724003	-41.145634	962
2306.786195	-39.261164	963
2307.830994	-40.670289	964
2308.880005	-41.125888	965
2309.933438	-39.974719	966
2310.955256	-39.947562	967
2312.022470	-38.128575	968
2313.049644	-38.941425	969
2314.087338	-38.928388	970
2315.127917	-39.112707	971
2316.181550	-38.692364	972
2317.237362	-36.800579	973
2318.260317	-38.894506	974
2319.322119	-36.303503	975
2320.370378	-35.659634	976
2321.432381	-35.102637	977
2322.418607	-37.251519	978
2323.481521	-36.542434	979
2324.522511	-34.837620	980
2325.567464	-35.642745	981
2326.617668	-35.807194	982
2327.644408	-34.483994	983
2328.720807	-35.133699	984
2329.733659	-33.622005	985
2330.828148	-35.237233	986
2331.827890	-33.724792	987
2332.884633	-34.894781	988
2333.922163	-34.682647	989
2334.963138	-34.108427	990
2336.016023	-33.337076	991
2337.036325	-33.289786	992
