crossing time (s)	slope (V/s)	crossing number
1505.851331	-100.750389	445
1506.906770	-106.113826	446
1507.944708	-83.408171	447
1508.988863	-83.084290	448
1510.068637	-67.014050	449
1511.082273	-69.099513	450
1512.150506	-53.905201	451
1513.165619	-52.463489	452
1514.249212	-43.436150	453
1515.272842	-39.587652	454
1516.368714	-35.996112	455
1517.432955	-32.179832	456
1518.432457	-27.806959	457
1519.451504	-23.422768	458
1520.535142	-23.726352	459
1521.561086	-18.170004	460
1522.640548	-16.041874	461
1523.657303	-14.969969	462
1524.697594	-13.345888	463
1525.752135	-10.453261	464
1526.787405	-11.308096	465
1527.880650	-9.623842	466
1528.868970	-8.537266	467
1529.978739	-5.563699	468
1530.968975	-4.944549	469
1532.065168	-5.285054	470
1533.093152	-5.099383	471
1534.109571	-4.340478	472
1535.196582	-3.767076	473
1536.189185	-2.510162	474
1537.273485	-2.866467	475
1538.335128	-3.922806	476
1539.349031	-1.305218	477
1540.489867	-1.112409	478
1541.396725	-3.515257	479
1542.585862	1.255522	480
1543.028326	-7.119369	481
1543.507347	-2.698750	482
1544.654409	-2.100237	483
1545.642362	-3.170074	484
1546.684856	0.306219	485
