time (s)	det(V)
1744.948095	-1.628126	
1744.949629	-1.602325	
1744.951327	-1.535426	
1744.952881	-1.484444	
1744.954584	-1.444286	
1744.956160	-1.472621	
1744.957843	-1.411161	
1744.959428	-1.367123	
1744.961095	-1.342889	
1744.962682	-1.282223	
1744.964333	-1.265614	
1744.965944	-1.215219	
1744.967560	-1.202579	
1744.969177	-1.175641	
1744.970797	-1.132852	
1744.972461	-1.114922	
1744.974063	-1.119076	
1744.975708	-1.045542	
1744.977298	-1.051758	
1744.978987	-1.028370	
1744.980553	-1.035411	
1744.982246	-0.933112	
1744.983796	-0.908858	
1744.985480	-0.930300	
1744.987048	-0.934522	
1744.988732	-0.883016	
1744.990276	-0.850439	
1744.992004	-0.825701	
1744.993484	-0.858455	
1744.995257	-0.802377	
1744.996744	-0.787408	
1744.998274	-0.768156	
1744.999803	-0.659649	
1745.001375	-0.778235	
1745.002938	-0.690184	
1745.004447	-0.672975	
1745.006100	-0.629949	
1745.007580	-0.680049	
1745.009226	-0.619197	
1745.010749	-0.625087	
1745.012401	-0.644072	
1745.013881	-0.587970	
1745.015519	-0.548419	
1745.017001	-0.514239	
1745.018694	-0.531134	
1745.020180	-0.514235	
1745.021872	-0.480502	
1745.023361	-0.523545	
1745.025066	-0.457807	
1745.026562	-0.452513	
1745.028224	-0.419755	
1745.029739	-0.456485	
1745.031390	-0.420400	
1745.032927	-0.393885	
1745.034554	-0.389893	
1745.036125	-0.365941	
1745.037791	-0.364849	
1745.039378	-0.358613	
1745.041027	-0.352466	
1745.042635	-0.312195	
1745.044262	-0.321931	
1745.045892	-0.328473	
1745.047525	-0.316292	
1745.049147	-0.260101	
1745.050769	-0.284512	
1745.052433	-0.244120	
1745.054013	-0.253591	
1745.055687	-0.225799	
1745.057259	-0.281439	
1745.058948	-0.272097	
1745.060519	-0.241590	
1745.062189	-0.218923	
1745.063748	-0.253200	
1745.065444	-0.158112	
1745.066990	-0.165145	
1745.068708	-0.159550	
1745.070204	-0.204727	
1745.071960	-0.172754	
1745.073442	-0.187434	
1745.075218	-0.169939	
1745.076702	-0.154051	
1745.078487	-0.170281	
1745.079978	-0.172887	
1745.081772	-0.127883	
1745.083249	-0.163413	
1745.085012	-0.146848	
1745.086507	-0.071591	
1745.088242	-0.101373	
1745.089759	-0.105063	
1745.091503	-0.143606	
1745.093027	-0.108652	
1745.094756	-0.124971	
1745.096296	-0.145402	
1745.098006	-0.123742	
1745.099557	-0.127347	
1745.101250	-0.105191	
1745.102808	-0.133152	
1745.104489	-0.108986	
1745.106065	-0.036432	
1745.107724	-0.112447	
1745.109328	-0.128991	
1745.110971	-0.111762	
1745.112565	-0.107198	
1745.114205	-0.129269	
1745.115806	-0.100909	
1745.117414	-0.104007	
1745.119097	-0.117893	
1745.120682	-0.086710	
1745.122359	-0.085904	
1745.123833	-0.110054	
1745.125414	-0.079962	
1745.126912	-0.129736	
1745.128548	-0.107701	
1745.130043	-0.108878	
1745.131648	-0.063293	
1745.133169	-0.088937	
1745.134720	-0.078242	
1745.136273	-0.106847	
1745.137794	-0.098335	
1745.139406	-0.047752	
1745.140990	-0.065247	
1745.142612	-0.100277	
1745.144162	-0.118932	
1745.145826	-0.073847	
1745.147318	-0.069807	
1745.149004	-0.052235	
1745.150496	-0.086935	
1745.152243	-0.023493	
1745.153716	-0.064155	
1745.155431	-0.011521	
1745.156979	-0.085002	
1745.158708	-0.068393	
1745.160213	-0.051933	
1745.161980	-0.028428	
1745.163481	-0.103624	
1745.165287	-0.052429	
1745.166768	-0.058991	
1745.168539	-0.022909	
1745.170022	-0.018236	
1745.171793	-0.037677	
1745.173280	-0.040863	
1745.175043	-0.042869	
1745.176525	-0.022039	
1745.178285	-0.084587	
1745.179798	-0.085618	
1745.181534	-0.044493	
1745.183052	-0.039369	
1745.184778	-0.038716	
1745.186302	-0.051365	
1745.188012	-0.031542	
1745.189554	-0.029661	
1745.191259	-0.040912	
1745.192825	-0.026490	
1745.194515	-0.028263	
1745.196086	-0.013833	
1745.197767	-0.020681	
1745.199344	0.002199	
1745.200991	0.004649	
1745.202583	-0.006397	
1745.204210	0.020033	
1745.205844	0.002377	
1745.207462	-0.015803	
1745.209105	-0.003279	
1745.210706	-0.003847	
1745.212342	-0.026905	
1745.213942	0.015896	
1745.215637	0.036545	
1745.217213	0.005640	
1745.218908	0.036863	
1745.220461	-0.003066	
1745.222161	0.023541	
1745.223725	0.006719	
1745.225421	0.019457	
1745.226976	0.011569	
1745.228689	-0.009011	
1745.230188	-0.020049	
1745.231945	0.036078	
1745.233429	0.010111	
1745.235225	-0.010478	
