time (s)	magX	magY	magZ
5235.843048	-12.465221	-195.150803	67.097015
5235.846377	-12.231441	-195.676804	68.207489
5235.849733	-12.348331	-196.436584	68.908836
5235.853044	-12.348331	-196.787262	68.207489
5235.856377	-12.523670	-197.430161	68.441261
5235.859708	-12.523670	-198.365295	69.843956
5235.863036	-12.114552	-199.066635	70.837517
5235.866372	-12.465221	-200.177094	71.772652
5235.869703	-12.348331	-201.287567	72.473991
5235.873040	-12.582115	-201.930450	73.292229
5235.876370	-11.939217	-202.748688	74.753365
5235.879702	-11.763878	-204.385162	75.454704
5235.883041	-11.939217	-204.794281	77.149620
5235.887669	-12.114552	-207.015198	78.552315
5235.890575	-11.880772	-208.125671	79.838112
5235.893951	-11.939217	-209.411453	80.890129
5235.897291	-12.231441	-209.762131	81.883690
5235.900634	-12.406776	-211.223267	81.883690
5235.903900	-12.523670	-212.625946	83.753944
5235.907218	-12.640560	-213.619522	84.630623
5235.910124	-12.874340	-214.379318	85.857979
5235.913456	-12.874340	-215.548218	87.026894
5235.916788	-13.283459	-216.775574	86.909996
5235.920124	-12.640560	-218.412048	88.371132
5235.923458	-12.991230	-219.230270	89.189354
5235.926369	-13.108120	-220.516068	89.540031
5235.929703	-13.575684	-222.094116	90.650490
5235.933031	-13.575684	-223.029236	92.462303
5235.936379	-13.400349	-224.139694	93.397423
5235.939695	-13.634129	-225.776154	95.267693
5235.943040	-13.575684	-226.302170	95.559898
5235.946365	-13.926357	-228.464661	97.021034
5235.949700	-14.335472	-230.042679	98.365273
5235.953032	-14.043247	-231.912933	99.943306
5235.956363	-14.043247	-233.023392	101.462883
5235.959699	-14.277027	-235.361206	103.859154
5235.963029	-14.218582	-237.523682	105.846291
5235.966364	-14.335472	-239.101700	107.599648
5235.969697	-14.686150	-241.497955	109.937462
5235.973030	-15.153713	-244.127991	112.859734
5235.976364	-14.510815	-246.056702	115.781990
5235.979729	-14.744595	-248.803619	118.002922
5235.983027	-14.452366	-251.258331	121.977211
5235.986364	-14.686150	-254.063705	124.724129
5235.989694	-15.329048	-256.459961	127.704857
5235.993025	-14.978374	-259.148468	132.146698
5235.996360	-15.387493	-261.953827	135.068970
5235.999689	-15.738163	-265.168335	139.510803
5236.003026	-15.504383	-267.564575	143.017517
5236.006415	-15.445938	-271.012848	147.576294
5236.009706	-16.264172	-273.350677	151.784332
5236.013026	-16.381065	-276.565186	156.576843
5236.016358	-16.907070	-280.305664	160.375793
5236.020983	-17.374634	-286.968445	170.369965
5236.023906	-17.199299	-289.949158	175.630035
5236.027228	-17.725307	-293.105194	179.370544
5236.030563	-18.485096	-296.787262	183.929260
5236.033956	-18.660431	-299.826416	189.072449
5236.037274	-18.660431	-302.924011	194.215637
5236.040125	-19.186440	-305.963196	199.475739
5236.043452	-19.654003	-309.236115	205.554047
5236.046774	-19.537113	-313.327301	210.638794
5236.050106	-20.238457	-316.600220	216.074219
5236.053451	-20.180012	-319.464081	221.158966
5236.056780	-21.115135	-322.561676	227.763275
5236.059690	-21.524254	-326.419037	233.140259
5236.063017	-20.998245	-329.984222	239.335480
5236.066365	-21.232025	-333.900055	245.881348
5236.069681	-22.342487	-336.588562	252.018097
5236.073015	-22.342487	-339.861481	259.674438
5236.076347	-22.576267	-342.900635	266.571014
5236.079689	-23.043831	-346.874939	274.928680
5236.083084	-23.452950	-350.323212	282.643463
5236.086358	-23.394505	-354.297485	290.124481
5236.089686	-24.154293	-358.037994	298.657501
5236.093015	-24.855637	-361.077148	307.482758
5236.096349	-24.855637	-364.583893	316.950897
5236.099683	-25.381649	-368.616608	326.886627
5236.103014	-25.498539	-371.538849	336.939209
5236.106347	-25.966103	-375.630066	346.991791
5236.109707	-26.492107	-379.370544	358.447083
5236.113010	-26.725887	-383.695526	370.545319
5236.116351	-26.959667	-387.319122	383.169464
5236.119678	-27.193451	-390.241394	394.858551
5236.123016	-27.777905	-393.105194	409.002319
5236.126343	-27.602570	-396.962585	424.081238
5236.129679	-28.479252	-399.066650	437.348328
5236.133005	-29.063705	-402.164215	452.427185
5236.136349	-29.239040	-404.677399	466.804810
5236.139678	-29.881943	-407.248993	481.883667
5236.143968	-31.284630	-410.755707	513.677917
5236.147217	-31.401520	-412.684387	529.633545
5236.150523	-31.927525	-413.385742	546.465820
5236.153860	-32.453537	-414.379303	561.778442
5236.157209	-33.447105	-414.437744	579.662781
5236.160556	-33.680885	-415.022217	596.261230
5236.163460	-34.323788	-414.905304	613.151917
5236.166799	-35.317356	-414.496216	628.990662
5236.170150	-35.960255	-412.392181	646.816467
5236.173492	-36.720043	-412.099945	662.538269
5236.176774	-37.713619	-410.405029	680.247253
5236.180100	-38.298069	-408.593231	696.027466
5236.183037	-38.882526	-406.313843	713.151917
5236.186340	-39.759205	-402.690247	729.984192
5236.189668	-40.869663	-399.475739	746.758057
5236.193003	-41.395679	-395.852142	762.362915
5236.196336	-42.213909	-391.234955	779.019897
5236.199669	-42.506138	-386.384003	794.800171
5236.203008	-42.798367	-381.182373	811.223267
5236.206341	-43.207478	-374.694916	826.477478
5236.209669	-43.558147	-367.272369	843.426697
5236.213027	-44.142605	-360.375824	860.142029
5236.216339	-44.668613	-352.135010	874.227295
5236.219669	-44.960835	-343.660431	889.014038
5236.223003	-44.902393	-333.958527	904.735840
5236.226336	-44.843945	-323.379913	919.171753
5236.229709	-44.843945	-312.216827	933.490906
5236.233002	-45.077732	-300.644653	947.108704
5236.236333	-45.136173	-287.377563	960.083557
5236.239665	-44.960835	-273.759796	971.831116
5236.242998	-45.311512	-259.440674	983.637024
5236.246334	-45.954411	-244.770889	994.332581
5236.249669	-45.779072	-228.523087	1003.742249
5236.253003	-45.428402	-212.041504	1012.099915
5236.256347	-45.662182	-192.812988	1020.983704
5236.259666	-45.954411	-175.454712	1025.834717
5236.263001	-45.837521	-156.343079	1031.445435
5236.266329	-45.837521	-136.705429	1035.010498
5236.269665	-45.837521	-116.775566	1038.049683
5236.272998	-45.779072	-95.618347	1039.101685
5236.276330	-45.720631	-75.045586	1038.809570
5236.279663	-46.071301	-54.472824	1038.458862
5236.283975	-46.188190	-11.573933	1031.211548
5236.287276	-46.480419	8.706606	1026.594482
5236.290563	-46.421978	29.805376	1020.516052
