time (s)	magX	magY	magZ
1640.250353	-104.967857	441.554626	-675.277588
1640.253677	-103.039154	448.451172	-656.224426
1640.257009	-100.818237	454.412598	-637.755676
1640.260352	-98.655754	459.789612	-618.410278
1640.263679	-97.253067	464.465240	-600.116882
1640.267012	-95.265923	468.205750	-581.648132
1640.270349	-93.571014	471.712433	-563.179443
1640.273703	-92.168327	473.933350	-544.184692
1640.277017	-90.473404	475.978943	-525.949707
1640.280344	-88.895378	477.323212	-507.481018
1640.283679	-88.252487	478.492126	-489.538300
1640.287010	-86.849800	477.264740	-471.011108
1640.290346	-85.680893	477.206329	-453.302155
1640.293675	-85.037987	476.212738	-436.060760
1640.297014	-83.459969	475.452942	-419.871429
1640.300342	-82.349503	474.225616	-404.324951
1640.303714	-80.654587	470.718872	-389.304504
1640.307006	-80.187019	468.205750	-374.517822
1640.310341	-79.251900	465.108093	-359.205139
1640.313672	-78.316772	461.952057	-344.126251
1640.317006	-77.790764	459.205139	-331.385162
1640.320335	-75.686737	455.698456	-318.527161
1640.323676	-75.160721	451.315033	-305.610748
1640.327002	-73.933372	446.522522	-293.044983
1640.330334	-72.764465	442.314423	-281.706604
1640.333671	-70.718880	438.223267	-270.368195
1640.337009	-70.309761	433.606110	-259.555817
1640.340336	-68.673286	428.638214	-249.444763
1640.343686	-68.030396	424.839264	-239.099930
1640.347014	-66.160141	419.929871	-230.333130
1640.350337	-65.458801	415.838684	-220.806549
1640.353679	-64.173004	410.461700	-212.273529
1640.357003	-62.711864	405.961426	-203.798935
1640.361626	-59.438927	396.376404	-187.668030
1640.364588	-58.562244	391.116302	-180.128571
1640.367881	-57.276447	385.739319	-172.063126
1640.371240	-55.932205	381.531250	-165.049683
1640.374591	-55.055523	376.621857	-157.860901
1640.378031	-53.652836	371.595551	-150.905914
1640.381203	-52.776154	366.686157	-144.476913
1640.384520	-51.899475	362.068970	-138.047928
1640.387877	-50.555229	355.873749	-131.385162
1640.391207	-49.327877	351.607239	-125.014618
1640.394087	-48.860313	346.756287	-118.877853
1640.397426	-47.457626	341.437744	-112.039742
1640.400791	-46.990063	336.645233	-106.370544
1640.404118	-46.639393	332.144958	-100.759796
1640.407473	-46.873173	327.060211	-95.324371
1640.410759	-45.762711	321.975433	-90.999420
1640.414085	-45.762711	316.949158	-84.862656
1640.417419	-45.119812	312.741089	-79.777908
1640.420354	-44.710697	307.188782	-74.400940
1640.423664	-44.360023	302.630035	-69.199303
1640.426999	-44.067799	297.545288	-64.406784
1640.430330	-43.717125	293.220337	-59.672707
1640.433669	-43.600235	289.304504	-55.873756
1640.436999	-43.483345	284.979523	-51.548801
1640.440325	-43.249561	280.303894	-47.399181
1640.443659	-43.132671	275.920502	-43.249561
1640.446998	-42.898891	271.712433	-39.742840
1640.450348	-42.548218	267.738190	-36.937462
1640.453661	-42.022209	264.056122	-33.372299
1640.456996	-41.905319	260.549377	-30.099356
1640.460325	-41.262421	257.334900	-27.995323
1640.463664	-40.911751	253.594391	-24.897720
1640.467035	-40.794857	250.263000	-22.267679
1640.470322	-40.444183	246.873169	-20.280537
1640.473666	-40.210403	243.717117	-18.176504
1640.476994	-40.502628	241.145538	-16.540035
1640.480323	-39.684395	239.216827	-12.974869
1640.483660	-39.918175	235.885452	-11.630626
1640.486989	-39.333721	233.196945	-9.117476
1640.490321	-39.216831	230.274704	-8.299240
1640.493678	-38.749268	228.170654	-5.961426
1640.496991	-38.164814	225.482178	-4.558738
1640.500321	-37.638809	222.793701	-2.454705
1640.503656	-37.463470	220.631226	-1.285798
1640.506986	-37.171246	217.884277	0.935126
1640.510320	-36.002338	216.423157	2.454705
1640.513660	-36.469902	214.319107	3.272940
1640.516986	-35.476330	212.039734	5.435418
1640.520325	-34.599651	209.877274	6.721216
1640.523658	-34.541206	208.240799	8.474577
1640.526981	-34.132088	206.428986	9.526592
1640.530317	-34.015198	204.149628	10.753945
1640.533654	-33.839859	201.870255	12.565751
1640.537010	-33.372299	199.649323	13.909994
1640.540318	-33.489189	197.895966	14.260666
1640.543650	-33.547634	195.850388	16.130919
1640.546985	-32.787846	194.038574	17.299826
1640.550318	-32.787846	191.934540	18.001169
1640.553657	-32.612507	190.356522	20.163647
