time (s)	det(V)
2005.149327	0.875020	
2005.150951	0.912939	
2005.152495	0.952980	
2005.154170	1.010517	
2005.155649	1.047835	
2005.157335	1.079739	
2005.158814	1.117263	
2005.160545	1.178461	
2005.162027	1.198917	
2005.163752	1.289276	
2005.165239	1.281083	
2005.166936	1.369650	
2005.168420	1.395781	
2005.170116	1.429949	
2005.171594	1.481133	
2005.173272	1.498983	
2005.174786	1.552253	
2005.176522	1.568789	
2005.178052	1.570103	
2005.179801	1.572822	
2005.181341	1.574594	
2005.183049	1.575259	
2005.184595	1.574993	
2005.186290	1.575372	
2005.187856	1.575195	
2005.189544	1.574743	
2005.191118	1.575166	
2005.192777	1.572254	
2005.194371	1.574260	
2005.196033	1.575283	
2005.197624	1.574969	
2005.199273	1.575464	
2005.200880	1.574425	
2005.202500	1.575674	
2005.204162	1.574961	
2005.205750	1.575601	
2005.207425	1.575106	
2005.209018	1.575730	
2005.210672	1.575348	
2005.212253	1.574707	
2005.213916	1.574256	
2005.215483	1.574872	
2005.217206	1.574981	
2005.218749	1.575593	
2005.220470	1.575336	
2005.222015	1.575521	
2005.223709	1.574071	
2005.225207	1.575255	
2005.226982	1.575021	
2005.228473	1.575158	
2005.230258	1.573406	
2005.231736	1.574292	
2005.233526	1.575013	
2005.235010	1.574715	
2005.236779	1.571778	
2005.238262	1.573209	
2005.240039	1.559412	
2005.241541	1.551101	
2005.243294	1.528389	
2005.244808	1.508905	
2005.246546	1.468621	
2005.248061	1.462752	
2005.249783	1.432588	
2005.251327	1.413176	
2005.253029	1.383003	
2005.254587	1.340883	
2005.256266	1.330865	
2005.257832	1.289168	
2005.259511	1.290896	
2005.261078	1.279266	
2005.262760	1.240328	
2005.264363	1.212835	
2005.266015	1.200907	
2005.267616	1.150730	
2005.269246	1.132909	
2005.270879	1.088187	
2005.272510	1.081685	
2005.274123	1.031754	
2005.275727	1.012700	
2005.277388	1.017739	
2005.278970	0.974544	
2005.280652	0.965718	
2005.282220	0.910634	
2005.283916	0.944150	
2005.285481	0.864949	
2005.287197	0.873586	
2005.288753	0.799465	
2005.290463	0.830104	
2005.291993	0.754714	
2005.293736	0.772278	
2005.295240	0.709956	
2005.296994	0.703502	
2005.298477	0.659066	
2005.300251	0.640681	
2005.301744	0.602859	
2005.303524	0.605014	
2005.305011	0.549129	
2005.306800	0.591253	
2005.308277	0.531187	
2005.310051	0.517180	
2005.311551	0.504253	
2005.313302	0.490348	
2005.314837	0.477546	
2005.316327	0.441476	
2005.317937	0.386949	
2005.319419	0.387767	
2005.321081	0.364338	
2005.322577	0.349916	
2005.324214	0.396246	
2005.325746	0.306197	
2005.327377	0.337980	
2005.328860	0.309081	
2005.330501	0.304368	
2005.331980	0.286768	
2005.333609	0.249039	
2005.335100	0.268951	
2005.336723	0.255517	
2005.338245	0.226460	
2005.339827	0.227971	
2005.341364	0.248274	
2005.342903	0.212402	
2005.344490	0.187583	
2005.346093	0.203197	
2005.347685	0.162926	
2005.349238	0.170374	
2005.350876	0.190270	
2005.352405	0.130840	
2005.354090	0.167293	
2005.355565	0.117144	
2005.357288	0.167184	
2005.358766	0.126735	
2005.360492	0.137584	
2005.361968	0.099838	
2005.363661	0.133181	
2005.365143	0.095741	
2005.366836	0.107625	
2005.368327	0.115488	
2005.370027	0.094344	
2005.371537	0.064421	
2005.373197	0.098843	
2005.374722	0.057630	
2005.376433	0.093212	
2005.377962	0.080684	
2005.379671	0.062053	
2005.381221	0.060151	
2005.382914	0.077687	
2005.384485	0.033520	
2005.386149	0.070826	
2005.387727	0.048517	
2005.389385	0.054258	
2005.390978	0.031993	
2005.392636	0.055434	
2005.394223	0.011219	
2005.395857	0.028811	
2005.397503	0.055889	
2005.399104	0.027228	
2005.400771	0.055785	
2005.402379	0.008738	
2005.404030	0.027063	
2005.405627	0.013749	
2005.407302	0.039365	
2005.408886	0.001652	
2005.410576	0.060296	
2005.412115	-0.009104	
