time (s)	det(V)
1214.449634	1.032201	
1214.451174	1.035134	
1214.452888	1.064198	
1214.454437	1.122210	
1214.456148	1.155137	
1214.457672	1.182091	
1214.459430	1.259862	
1214.460905	1.265908	
1214.462676	1.326595	
1214.464161	1.340545	
1214.465939	1.392321	
1214.467423	1.426775	
1214.469202	1.481036	
1214.470684	1.521731	
1214.472467	1.554767	
1214.473966	1.573188	
1214.475727	1.575146	
1214.477239	1.575017	
1214.478960	1.574896	
1214.480484	1.574397	
1214.482204	1.574764	
1214.483743	1.574896	
1214.485433	1.575211	
1214.486996	1.575255	
1214.488693	1.575033	
1214.490256	1.571770	
1214.491951	1.575694	
1214.493517	1.575372	
1214.495204	1.575706	
1214.496795	1.575343	
1214.498421	1.575702	
1214.500026	1.575271	
1214.501653	1.575779	
1214.503280	1.575219	
1214.504913	1.575674	
1214.506561	1.575146	
1214.508164	1.575730	
1214.509822	1.574667	
1214.511387	1.575650	
1214.513079	1.575142	
1214.514641	1.575682	
1214.516354	1.575364	
1214.517931	1.575730	
1214.519617	1.575388	
1214.521176	1.573152	
1214.522884	1.575162	
1214.524423	1.570123	
1214.526149	1.575517	
1214.527641	1.575295	
1214.529192	1.575275	
1214.530707	1.575436	
1214.532305	1.575340	
1214.533840	1.575327	
1214.535382	1.574606	
1214.536986	1.575481	
1214.538470	1.575517	
1214.540133	1.572697	
1214.541622	1.575380	
1214.543263	1.571883	
1214.544787	1.574969	
1214.546430	1.573478	
1214.547903	1.574933	
1214.549543	1.574606	
1214.551028	1.574647	
1214.552663	1.574908	
1214.554157	1.575017	
1214.555771	1.563984	
1214.557279	1.570409	
1214.558928	1.569958	
1214.560464	1.565124	
1214.562108	1.529336	
1214.563654	1.464621	
1214.565263	1.431355	
1214.566853	1.394887	
1214.568428	1.370242	
1214.570040	1.293901	
1214.571583	1.281329	
1214.573243	1.277373	
1214.574729	1.192951	
1214.576444	1.189563	
1214.577919	1.131974	
1214.579664	1.126810	
1214.581138	1.037116	
1214.582840	1.038602	
1214.584370	0.996897	
1214.586085	0.979059	
1214.587578	0.925865	
1214.589348	0.890243	
1214.590832	0.857654	
1214.592619	0.883137	
1214.594100	0.805503	
1214.595894	0.794462	
1214.597380	0.744651	
1214.599118	0.754315	
1214.600617	0.696561	
1214.602370	0.701021	
1214.603885	0.664939	
1214.605638	0.657632	
1214.607151	0.607346	
1214.608878	0.596752	
1214.610403	0.548637	
1214.612127	0.567377	
1214.613672	0.515021	
1214.615394	0.534494	
1214.616958	0.484809	
1214.618658	0.489582	
1214.620214	0.463579	
1214.621887	0.482049	
1214.623476	0.457537	
1214.625127	0.447063	
1214.626717	0.397273	
1214.628341	0.402474	
1214.629938	0.409962	
1214.631558	0.369929	
1214.633212	0.353199	
1214.634815	0.331700	
1214.636457	0.342440	
1214.638050	0.316308	
1214.639731	0.350871	
1214.641291	0.307506	
1214.642997	0.307490	
1214.644563	0.276516	
1214.646255	0.289729	
1214.647822	0.251315	
1214.649523	0.268282	
1214.651070	0.234928	
1214.652797	0.256399	
1214.654295	0.212071	
1214.656058	0.251049	
1214.657543	0.202355	
1214.659322	0.215761	
1214.660809	0.179732	
1214.662575	0.194145	
1214.664056	0.194081	
1214.665830	0.205086	
1214.667323	0.153077	
1214.669083	0.148251	
1214.670580	0.126425	
1214.672296	0.138647	
1214.673811	0.136403	
1214.675538	0.138925	
1214.677062	0.125462	
1214.678768	0.115134	
1214.680323	0.087785	
1214.682033	0.092914	
1214.683589	0.072212	
1214.685268	0.097675	
1214.686836	0.106610	
1214.688496	0.088724	
1214.690074	0.080132	
1214.691726	0.072474	
1214.693340	0.058850	
1214.694966	0.038995	
1214.696586	0.071137	
1214.698221	0.021165	
1214.699878	0.025761	
1214.701474	0.010398	
1214.703146	0.030910	
1214.704730	0.020972	
1214.706427	0.028428	
1214.707994	0.000218	
1214.709684	0.042390	
1214.711261	0.005008	
1214.712946	0.017245	
1214.714502	-0.011368	
1214.716211	-0.001965	
1214.717759	-0.014204	
1214.719487	-0.004975	
1214.721007	-0.003996	
1214.722752	-0.006086	
1214.724243	-0.035642	
1214.726007	0.016815	
1214.727505	-0.002944	
1214.729027	0.004689	
1214.730575	-0.009236	
1214.732131	-0.000898	
1214.733677	-0.020504	
1214.735177	-0.028299	
1214.736828	-0.026856	
1214.738322	-0.022083	
1214.739948	0.013705	
1214.741468	-0.028649	
1214.743098	-0.009245	
1214.744576	-0.024838	
1214.746225	-0.026341	
1214.747719	-0.043212	
1214.749331	0.010510	
1214.750829	-0.051554	
1214.752466	-0.000942	
1214.753981	-0.033922	
1214.755567	-0.037987	
1214.757078	-0.009611	
1214.758614	-0.006751	
1214.760212	-0.026349	
1214.761819	-0.021467	
1214.763424	-0.034164	
1214.764993	-0.021644	
1214.766615	-0.020049	
1214.768140	-0.046406	
1214.769824	0.001265	
1214.771304	-0.036383	
1214.773033	-0.004838	
1214.774510	-0.040388	
1214.776204	0.008907	
1214.777687	-0.026478	
1214.779387	-0.004423	
1214.780866	-0.024943	
1214.782571	-0.015017	
1214.784068	-0.038494	
1214.785772	-0.001136	
1214.787267	-0.031989	
1214.789001	-0.015714	
1214.790518	-0.024214	
1214.792239	-0.015489	
1214.793757	-0.039372	
1214.795466	-0.020165	
1214.797013	-0.013466	
1214.798697	-0.036984	
1214.800265	-0.051747	
1214.801959	-0.029382	
1214.803533	-0.048686	
1214.805194	-0.011480	
1214.806770	-0.048323	
1214.808418	-0.024331	
1214.810008	-0.045862	
1214.811638	-0.053230	
1214.813271	-0.016242	
1214.814892	-0.040122	
1214.816526	-0.021269	
1214.818127	-0.039779	
1214.819780	-0.038309	
1214.821373	-0.046192	
1214.823049	-0.043775	
1214.824613	-0.035082	
1214.826331	-0.019110	
1214.827894	-0.055893	
1214.829589	-0.014626	
1214.831150	-0.052589	
1214.832841	0.016702	
1214.834401	-0.062205	
1214.836130	0.018970	
1214.837660	-0.039888	
1214.839407	-0.041681	
1214.840891	-0.050237	
1214.842669	-0.033733	
1214.844157	-0.031509	
1214.845940	-0.014566	
1214.847413	-0.058668	
1214.849227	-0.004165	
1214.850711	-0.070378	
1214.852493	-0.039163	
1214.853976	-0.062817	
