crossing time (s)	slope (V/s)	crossing number
2717.761691	24.153207	3032
2720.932362	20.344945	3033
2721.969157	19.006966	3034
2726.152791	14.834283	3035
2727.181347	14.098873	3036
2728.231198	13.424236	3037
2729.276471	12.130760	3038
2730.320045	10.811677	3039
2731.343150	10.490118	3040
2732.398691	9.214368	3041
2733.470033	9.463692	3042
2734.488031	9.104232	3043
2735.559037	7.440519	3044
2736.575639	6.598807	3045
2737.652454	6.106632	3046
2738.662170	6.408327	3047
2739.767139	6.057480	3048
2740.760702	5.333815	3049
2741.839454	5.276920	3050
2742.822855	4.409212	3051
2743.940934	4.676896	3052
2744.940093	4.231929	3053
2746.013645	4.534243	3054
2746.999630	3.808674	3055
2748.143461	2.811219	3056
2749.108161	2.578628	3057
2750.211967	2.561034	3058
2751.188369	2.921041	3059
2752.329566	2.679086	3060
2753.280970	2.443016	3061
2754.414285	1.469546	3062
2755.392046	2.090116	3063
2756.516222	2.210656	3064
2757.482476	1.260026	3065
2758.590080	1.162378	3066
2759.575439	0.986420	3067
2760.677226	1.604303	3068
2761.672581	1.399699	3069
2762.764618	0.667790	3070
2763.761831	0.601993	3071
2765.841765	0.879900	3072
2766.609117	0.280809	3073
2766.969498	1.323618	3074
2767.650871	-0.960710	3075
2767.975463	1.101791	3076
