time (s)	magX	magY	magZ
2873.450344	-144.126236	-256.692017	-804.850952
2873.453679	-142.606659	-243.307999	-814.962036
2873.457009	-141.262421	-230.976028	-824.956116
2873.460360	-138.047928	-217.592041	-833.722961
2873.463689	-135.184097	-202.980713	-841.671570
2873.467017	-131.911163	-188.310928	-848.860352
2873.470348	-129.164230	-172.764465	-854.880127
2873.473714	-126.534187	-157.218002	-859.380432
2873.477020	-123.962593	-140.619522	-863.997681
2873.480354	-120.631203	-124.254822	-867.212219
2873.483680	-117.592049	-107.071892	-869.140808
2873.487012	-115.020454	-90.122734	-870.075989
2873.490343	-112.974869	-73.582703	-871.303345
2873.493680	-111.046173	-56.224430	-870.952698
2873.497016	-109.117470	-38.632378	-869.199280
2873.500339	-107.714783	-21.098774	-866.160095
2873.503678	-106.896553	-2.863822	-862.185852
2873.507006	-106.078316	15.663354	-858.328430
2873.510344	-105.552307	32.437172	-852.425476
2873.513678	-105.318520	49.327877	-847.282288
2873.517035	-105.143188	67.036819	-839.275269
2873.520337	-104.909409	83.343079	-831.443604
2873.523676	-106.195213	100.701347	-823.494995
2873.527012	-106.253647	117.007599	-814.494446
2873.530349	-107.247223	132.904739	-804.149658
2873.533671	-107.597900	148.392746	-793.161926
2873.537006	-108.649910	163.530106	-782.174133
2873.540339	-109.468147	178.258331	-770.485107
2873.543673	-109.760376	193.161896	-758.679138
2873.547009	-109.117470	207.247238	-746.054932
2873.550341	-109.175919	219.812958	-732.554077
2873.553672	-108.591461	232.495621	-720.222107
2873.557001	-107.539452	244.418472	-707.071899
2873.560373	-106.721207	256.399780	-692.518982
2873.563671	-104.909409	266.510834	-679.135010
2873.567002	-103.331390	277.849213	-664.874390
2873.570335	-100.993576	287.142029	-651.431885
2873.573667	-98.597313	296.727051	-636.469910
2873.577002	-96.727058	305.844543	-623.436584
2873.580336	-93.863235	314.319122	-609.818848
2873.583671	-90.414963	322.326141	-594.739929
2873.587006	-87.375801	329.339569	-581.765015
2873.590334	-83.050850	336.762115	-566.686157
2873.594598	-76.563416	348.042084	-539.918213
2873.598300	-73.056694	352.191711	-525.832825
2873.601188	-69.374634	356.633545	-511.747498
2873.604560	-65.926361	361.484497	-498.655762
2873.607872	-62.594975	365.108124	-484.745728
2873.611257	-58.912914	367.855042	-470.075989
2873.614598	-55.698425	370.075989	-456.925781
2873.617923	-53.009933	372.413788	-443.483337
2873.621185	-49.853886	373.465790	-429.982483
2873.624098	-47.808300	375.160706	-416.481598
2873.627426	-45.412041	375.920502	-404.324951
2873.630757	-44.593803	375.569855	-392.051422
2873.634091	-42.723553	376.446533	-379.135010
2873.637423	-41.262421	375.686737	-367.036804
2873.640761	-40.911751	375.160706	-354.237305
2873.644113	-40.619518	373.641144	-342.548218
2873.647483	-40.385738	372.647583	-331.092926
2873.650328	-39.976620	371.829346	-320.397430
2873.653674	-39.684395	370.017517	-309.117493
2873.657000	-39.684395	368.030396	-298.246643
2873.660325	-39.801285	366.510834	-287.142029
2873.663660	-40.619518	363.646973	-277.030975
2873.667000	-41.087086	361.542969	-266.919922
2873.670327	-41.028641	357.977783	-257.568665
2873.673660	-41.320866	355.756866	-248.042084
2873.676994	-41.554649	352.425476	-238.164810
2873.680327	-42.080654	349.035645	-229.398010
2873.683657	-42.431328	345.938049	-219.754532
2873.686992	-42.723553	342.606659	-211.455292
2873.690348	-42.314438	339.392151	-203.097610
2873.693653	-42.665108	335.885468	-195.090591
2873.696991	-42.080654	331.209839	-186.908249
2873.700325	-41.963764	328.229126	-178.842789
2873.703656	-40.970196	324.547058	-171.478668
2873.706988	-40.093510	321.332550	-164.406769
2873.710322	-39.742840	317.825836	-157.744019
2873.713648	-38.866158	313.442413	-151.490356
2873.716989	-37.405025	309.760376	-144.243134
2873.720385	-36.703682	306.312103	-138.632385
2873.723667	-35.476330	302.746948	-132.495621
2873.726993	-34.132088	298.831085	-126.241959
2873.730328	-32.846291	295.441284	-121.098770
2873.733688	-31.852718	291.525421	-114.377556
2873.736991	-30.625364	287.609589	-109.877266
2873.740325	-29.105785	283.985962	-105.318520
2873.743653	-28.229105	281.531250	-99.064873
2873.746986	-27.469316	277.557007	-94.681473
2873.750321	-26.125072	273.641144	-90.473404
2873.753650	-25.365284	270.426666	-85.622444
2873.756986	-24.780828	266.686157	-81.823502
2873.760322	-23.787258	263.471649	-77.673874
2873.763656	-23.085915	260.432495	-74.225601
2873.766984	-22.618351	256.341309	-70.368210
