time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3303.951068	171.874039	0.012879	0.100000	155
3321.351016	186.035675	0.140447	-0.100000	157
3323.438115	94.503380	1.379329	-0.100000	159
3325.527243	94.418777	1.335018	-0.100000	161
3327.613237	94.100838	1.287322	-0.100000	163
3329.702251	93.818077	1.244260	-0.100000	165
3331.787748	93.628532	1.200664	-0.100000	167
3333.875819	93.387260	1.157328	-0.100000	169
3335.963286	93.324654	1.117571	-0.100000	171
3338.053112	93.442039	1.075318	-0.100000	173
3340.142892	93.422592	1.037119	-0.100000	175
3342.230781	93.540321	1.001181	-0.100000	177
3344.317791	93.695312	0.963968	-0.099775	179
3346.408356	93.493912	0.925333	-0.097060	181
3348.494485	93.387054	0.889678	-0.093572	183
3350.580641	93.374161	0.853397	-0.090519	185
3352.667291	93.485176	0.820074	-0.087573	187
3354.754784	93.446480	0.786913	-0.084666	189
3356.843976	93.309242	0.754559	-0.081387	191
3358.932993	93.297409	0.725467	-0.077993	193
3361.025122	93.292923	0.694747	-0.074412	195
3363.111148	93.236214	0.667506	-0.070895	197
3365.199273	93.302567	0.641531	-0.066816	199
3367.290698	93.215424	0.615181	-0.063606	201
3369.374773	93.133423	0.589489	-0.060848	203
3371.458642	93.002182	0.564811	-0.057584	205
3373.547070	92.841660	0.539101	-0.054676	207
3375.634940	92.614006	0.516132	-0.051695	209
3377.718791	92.532768	0.492467	-0.049167	211
3379.813667	92.493629	0.472363	-0.046497	213
3381.897725	92.627457	0.451130	-0.043754	215
3383.987416	92.621132	0.432120	-0.041304	217
3386.064571	92.613945	0.413937	-0.039142	219
3388.167121	92.691040	0.398157	-0.037021	221
3390.248075	92.794411	0.381350	-0.034949	223
3392.334399	92.791763	0.364894	-0.033540	225
3394.416874	92.728714	0.347361	-0.032191	227
3396.505163	92.735115	0.332518	-0.030340	229
3398.597173	92.722694	0.315967	-0.029179	231
3400.698623	92.636375	0.303326	-0.027514	233
3402.780705	92.445297	0.288260	-0.026401	235
3404.874576	92.269081	0.276721	-0.024982	237
3406.972781	92.370010	0.265701	-0.023330	239
3409.044348	185.092575	-0.003691	0.046268	241
